country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","15-11-2025 23:00:00",14.675886,77.593027,OZONE,29,76,61
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-11-2025 23:00:00",13.204880,79.097889,SO2,8,33,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-11-2025 23:00:00",14.465052,78.824187,NO2,14,24,22
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-11-2025 23:00:00",14.465052,78.824187,NH3,4,6,4
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-11-2025 23:00:00",16.9872867,81.7363176,NO2,9,60,34
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","15-11-2025 23:00:00",13.67,79.35,PM10,80,114,102
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","15-11-2025 23:00:00",13.67,79.35,NO2,17,35,24
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","15-11-2025 23:00:00",13.67,79.35,OZONE,26,61,48
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-11-2025 23:00:00",13.615387,79.409230,PM2.5,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","15-11-2025 23:00:00",25.7808257,84.7446768,SO2,20,22,20
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","15-11-2025 23:00:00",24.7955,84.9994,OZONE,19,21,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-11-2025 23:00:00",24.792403,84.992416,NO2,2,9,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-11-2025 23:00:00",24.792403,84.992416,CO,36,44,39
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-11-2025 23:00:00",24.762518,84.982348,NO2,19,21,20
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-11-2025 23:00:00",24.762518,84.982348,NH3,3,3,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-11-2025 23:00:00",24.762518,84.982348,CO,8,52,35
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-11-2025 23:00:00",25.697189,85.245900,PM10,59,113,92
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-11-2025 23:00:00",25.697189,85.245900,NH3,5,12,8
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-11-2025 23:00:00",13.615387,79.409230,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","15-11-2025 23:00:00",16.536107,80.594233,NO2,22,22,22
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","15-11-2025 23:00:00",16.536107,80.594233,CO,19,20,20
